+----------------+---------+---------+--------+--------+---------+---------+---------+---------+---------+---------+
| Team           | All (H) | All (A) | GK (H) | GK (A) | DEF (H) | DEF (A) | MID (H) | MID (A) | FWD (H) | FWD (A) |
+----------------+---------+---------+--------+--------+---------+---------+---------+---------+---------+---------+
| Wolves         |   1.67  |   3.09  |  2.98  |  3.67  |   1.85  |   2.99  |   2.33  |   3.06  |   2.81  |   3.40  |
| Spurs          |   3.35  |   3.57  |  2.86  |  4.85  |   3.49  |   4.76  |   3.76  |   2.59  |   3.78  |   3.85  |
| Man City       |   3.41  |   4.11  |  4.25  |  3.33  |   4.04  |   4.64  |   3.17  |   3.79  |   3.47  |   3.82  |
| Leicester      |   1.0   |   2.23  |  2.98  |  2.63  |   1.94  |   1.25  |   1.0   |   3.24  |   2.59  |   1.49  |
| Southampton    |   1.32  |   1.0   |  2.24  |  1.0   |   1.80  |   1.0   |   1.61  |   1.0   |   3.34  |   2.63  |
| Bournemouth    |   3.03  |   3.93  |  3.81  |  1.0   |   3.32  |   3.45  |   3.34  |   4.38  |   3.50  |   5.0   |
| Liverpool      |   5.0   |   5.0   |  5.0   |  4.30  |   5.0   |   5.0   |   5.0   |   5.0   |   4.50  |   4.55  |
| Newcastle      |   3.90  |   4.07  |  3.45  |  4.09  |   3.86  |   3.80  |   4.23  |   3.96  |   4.38  |   5.0   |
| Chelsea        |   3.78  |   4.08  |  3.22  |  4.36  |   4.09  |   4.82  |   3.86  |   3.46  |   4.13  |   3.89  |
| Nott'm Forest  |   3.03  |   4.78  |  3.22  |  5.0   |   3.91  |   4.83  |   1.85  |   4.71  |   5.0   |   4.24  |
| West Ham       |   2.89  |   2.15  |  3.93  |  2.04  |   3.29  |   2.48  |   2.81  |   2.45  |   3.69  |   1.0   |
| Fulham         |   3.96  |   3.53  |  4.76  |  2.63  |   4.11  |   3.39  |   3.66  |   4.05  |   4.22  |   2.48  |
| Everton        |   1.66  |   2.47  |  1.0   |  1.30  |   1.0   |   1.76  |   2.98  |   3.16  |   4.28  |   2.82  |
| Crystal Palace |   3.97  |   2.35  |  3.10  |  1.76  |   3.83  |   1.85  |   4.62  |   2.82  |   4.12  |   2.90  |
| Ipswich        |   1.69  |   1.66  |  3.72  |  1.22  |   2.78  |   1.78  |   2.32  |   1.88  |   1.0   |   1.64  |
| Brentford      |   2.20  |   3.29  |  2.17  |  3.68  |   2.63  |   3.85  |   2.29  |   3.39  |   3.94  |   1.49  |
| Brighton       |   3.21  |   3.55  |  4.10  |  4.11  |   4.37  |   2.91  |   2.39  |   4.09  |   3.17  |   2.68  |
| Aston Villa    |   1.80  |   4.03  |  2.74  |  2.33  |   2.83  |   4.71  |   1.72  |   3.90  |   2.66  |   3.23  |
| Man Utd        |   2.39  |   2.51  |  1.52  |  1.90  |   1.64  |   2.57  |   3.95  |   2.29  |   4.05  |   4.05  |
| Arsenal        |   4.04  |   4.81  |  4.88  |  4.41  |   3.59  |   4.77  |   4.60  |   4.82  |   3.91  |   4.71  |
+----------------+---------+---------+--------+--------+---------+---------+---------+---------+---------+---------+
